https%3A%2F%2Fwww.olimpkz.com%2Fmobile%2Findex.php%3Fpage%3Dline%26action%3D1%26sel%5B%5D%3D2	4061756
https%3A%2F%2Fwww.olimpkz.com%2Findex.php%3Fpage%3Dline%26action%3D1%26sel%255B%255D%3D4	2955386
https%3A%2F%2Fwww.google.ru%2F%23newwindow%3D1%26q%3D%25D0%25B1%25D1%258D%25D0%25B9%25D0%25BC%25D0%25B0%25D0%25BA%25D1%2581%2B%25D1%2581%25D0%25BC%25D0%25BE%25D1%2582%25D1%2580%25D0%25B5%25D1%2582%25D1%258C%2B%25D0%25BE%25D0%25BD%25D0%25BB%25D0%25B0%25D0%25B9%25D0%25BD%2B%25D0%25B1%25D0%25B5%25D1%2581%25D0%25BF%25D0%25BB%25D0%25B0%25D1%2582%25D0%25BD%25D0%25BE	2529685
https%3A%2F%2Fwww.olimpkz.com%2Fmobile%2Findex.php%3Faction%3Dset_tmz%26id%3D-660	2485599
https%3A%2F%2Fwww.olimpkz.com%2Findex.php%23ch11766	1719542
http%3A//www.echo.msk.ru/%23__utmzi__1__%3D1	1384896
http%3A%2F%2Foko-planet.su%2F%3Fdo%3Dsearch%26mode%3Dadvanced%26subaction%3Dsearch%26story%3D%25EF%25F0%25EE%25EF%25E0%25E3%25E0%25ED%25E4%25E0%2520%25F0%25EE%25F1%25F1%25E8%25E8	1158180
https%3A%2F%2Fmail.rambler.ru%2F%3Futm_source%3Dr02%26utm_medium%3Ddistribution%26utm_content%3De01%26utm_campaign%3Da25%23%2Ffolder%2FINBOX%2F10893	1101191
https%3A%2F%2Fmail.rambler.ru%2F%23%2Ffolder%2FINBOX%2F%3Fmbox%3DINBOX%2526r%253D2310%26page%3D1%3Bsearch%3D%3Bfilter%3D	990072
https%3A%2F%2Fwww.olimpkz.com%2Fmobile%2Findex.php%3Fpage%3Dbasket%26basket%3D1%26mode%3Ddel%26b1%3D121309576.1	904802
https%3A%2F%2F999.md%2F%23!%2F3978088	878024
https%3A%2F%2Fwww.olimpkz.com%2Findex.php%3Fpage%3Dline%26action%3D1%26live%3D1%23	822580
http%3A%2F%2Findex.ru%2Fwidget%3Fperiod%3Dweek%26title%3D%25D0%25B5%25D0%25B4%25D0%25B0%26categories%3DHealth%26height%3D400%26amp%253Bwmode%3Dtransparent	739713
https%3A%2F%2F999.md%2Fcategory%2Ftransport%2F%23!%2F982556	720596
https%3A%2F%2Fwww.google.com.ua%2F%3Fgws_rd%3Dssl%23q%3D%25D0%25BA%25D0%25B0%25D0%25BA%2B%25D0%25B4%25D0%25B5%25D0%25B9%25D1%2581%25D1%2582%25D0%25B2%25D1%2583%25D0%25B5%25D1%2582%2B%25D1%2583%25D0%25B3%25D0%25BE%25D0%25BB%25D1%258C%2B%25D0%25B0%25D0%25BA%25D1%2582%25D0%25B8%25D0%25B2%25D0%25B8%25D1%2580%25D0%25BE%25D0%25B2%25D0%25B0%25D0%25BD%25D0%25BD%25D1%258B%25D0%25B9%2B%25D0%25BD%25D0%25B0%2B%2B%25D0%25BE%25D1%2580%25D0%25B3%25D0%25B0%25D0%25BD%25D0%25B8%25D0%25B7%25D0%25BC%2B%25D0%25BA%25D0%25BE%25D1%2588%25D0%25BA%25D0%25B8	701981
http%3A%2F%2Fvz.ru%2F%2Feconomy%2F2014%2F8%2F6%2F699052.html	664121
https%3A%2F%2Fmail.rambler.ru%2F%23%2F%2F14449%2F	647397
http%3A%2F%2Folimp.kz%2Fmobile%2Findex.php%3Fpage%3Dline%26action%3D1%26time%3D0%26line_nums%3D0%26sel%255b%255d%3D0	642104
https%3A%2F%2Flk.ssl.mts.ru%2Fnew_complaints	593384
http%3A%2F%2Fonline.anidub.com%2F%3Fdo%3Dsearch%26mode%3Dadvanced%26subaction%3Dsearch%26story%3D%25D0%25BD%25D0%25B0%25D1%2580%25D1%2583%25D1%2582%25D0%25BE%2520%25D1%2581%25201%2520%25D1%2581%25D0%25B5%25D1%2580%25D0%25B8%25D0%25B8	582709
http%3A//echo.msk.ru/%23today	575712
https%3A%2F%2Fwww.olimpkz.com%2Fmobile%2Findex.php%3Fpage%3Dline%26action%3D1%26sel%255B%255D%3D3	564192
http%3A%2F%2Fvk.com%2Ffeed%3Flist%3D2%26section%3Dlist%26z%3Dvideo220241548_170981642%252F0e7d65c3ca5ac20943	543369
https%3A//www.google.ru/%3Fgws_rd%3Dssl%23newwindow%3D1%26q%3D%25D0%25BA%25D0%25B0%25D0%25BA+%25D1%2581%25D0%25B4%25D0%25B5%25D0%25BB%25D0%25B0%25D1%2582%25D1%258C+%25D0%25B0%25D0%25BA%25D0%25B2%25D0%25B0%25D1%2580%25D0%25B8%25D1%2583%25D0%25BC%25D0%25BD%25D1%258B%25D0%25B9+%25D1%2581%25D0%25B0%25D0%25BC%25D0%25BF	524905
http%3A%2F%2Fwww.rambler.ru%2F%3F%2F	506319
http%3A%2F%2Folimp.kz%2Fmobile%2Findex.php%3Faction%3Dset_tmz%26id%3D-600	499079
http%3A%2F%2Fsmotri.com%2Fbroadcast%2Flist%2F%3Ffrom%3Dqip%26utm_source%3Dmainqip%26utm_medium%3Dcpc%26utm_content%3Dall%26utm_campaign%3Dmain_video_broadcast	497543
http%3A%2F%2Folimp.kz%2Findex.php%3Fpage%3Dline%26action%3D1%26sel%5B%5D%3D9	432482
https%3A%2F%2Fvk.com%2Ffeed%23%2Ffeed	399342
https%3A%2F%2Fwww.olimpkz.com%2Fmobile%2Findex.php%3Fpage%3Dline%26live%3D1%26action%3D2%26addons%3D1%26live%5B%5D%3D532544	394632
http%3A%2F%2Fanistar.ru%2F%2Fsvobodnye-plavane-free.html	377471
http%3A%2F%2Frzd.ru%2F%23dir%3D0%257Ctfl%3D3%257CcheckSeats%3D1%257Cst0%3D%25D0%25A1%25D0%2590%25D0%259D%25D0%259A%25D0%25A2-%25D0%259F%25D0%2595%25D0%25A2%25D0%2595%25D0%25A0%25D0%2591%25D0%25A3%25D0%25A0%25D0%2593%257Ccode0%3D2004000%257Cdt0%3D30.10.2014%257Cst1%3D%25D0%259C%25D0%259E%25D0%25A1%25D0%259A%25D0%2592%25D0%2590%257Ccode1%3D2000000%257Cdt1%3D01.10.2014	371056
http%3A%2F%2Fwww.zakon.kz%2F%3F	358653
https%3A%2F%2Folimp.com%2Fmobile%2Findex.php%3Fpage%3Dline%26action%3D1%26sel%5B%5D%3D98	344366
http%3A%2F%2Finosmi.ru%2F%2520target%3D	324107
http%3A%2F%2Fwww.liveresult.ru%2F%3Fcat%3D104%26period%3Dtoday%26widget%3Dteams	288879
https%3A%2F%2Fwww.olimpkz.com%2Findex.php%3Fpage%3Dline%26line_nums%3D0%26action%3D2%26mid%3D0%26id%3D0%26live%5B%5D%3D532531%26live%5B%5D%3D532543%26live%5B%5D%3D532782	285368
http%3A%2F%2Fwww.vz.ru%2F%23mn98667	274572
